TP_FAIXA_ETARIA,SEXO,TP_COR_RACA,TP_ESCOLA,MUNIC_ESCOLA,SG_UF_ESC,NO_MUNICIPIO_PROVA,UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NOTA_REDACAO,nota_final
Entre 36 e 40 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,448.3,424.5,402.0,516.0,360.0,430.16
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,556.3,599.2,639.0,640.9,820.0,651.0799999999999
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,607.3,620.3,618.7,686.3,660.0,638.52
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,486.2,519.8,543.1,575.7,540.0,532.96
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,548.0,446.8,545.2,586.6,540.0,533.3199999999999
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,640.2,700.3,667.0,783.7,800.0,718.24
21 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,573.8,599.6,595.4,622.1,840.0,646.1800000000001
17 anos,F,Pardo,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,489.9,476.0,559.9,368.1,840.0,546.78
17 anos,F,Pardo,Pública,São Paulo,SP,Santo André,SP,1,1,1,1,672.2,632.2,601.7,715.4,920.0,708.3
18 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,579.3,624.6,537.8,692.3,840.0,654.8
18 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,413.0,452.9,484.2,712.9,560.0,524.6
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,420.5,528.5,482.4,403.2,660.0,498.91999999999996
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,494.4,591.5,546.4,650.5,580.0,572.5600000000001
19 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,434.1,556.1,451.7,607.4,500.0,509.86
21 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,430.0,625.3,461.8,491.0,500.0,501.62
17 anos,M,Preto,Privada,,,Santo André,SP,1,1,1,1,535.7,579.5,554.3,648.8,640.0,591.6600000000001
21 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,504.5,641.5,535.3,565.3,820.0,613.3199999999999
Entre 26 e 30 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,605.7,651.0,568.4,605.8,720.0,630.1800000000001
20 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,702.0,722.8,630.2,724.0,940.0,743.8
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,449.0,521.6,614.5,579.5,580.0,548.92
17 anos,F,Preto,Pública,Ribeirão Pires,SP,Santo André,SP,1,1,1,1,353.5,365.9,368.4,391.1,440.0,383.78000000000003
20 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,508.1,652.7,586.5,646.7,680.0,614.8
17 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,430.8,359.4,419.8,444.6,420.0,414.91999999999996
25 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,555.0,554.5,569.9,589.7,880.0,629.8199999999999
18 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,485.4,528.9,518.2,446.7,600.0,515.8399999999999
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,613.7,611.8,620.1,707.0,700.0,650.5200000000001
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,524.4,634.9,586.2,613.5,960.0,663.8
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,641.5,690.8,605.8,790.5,900.0,725.72
17 anos,M,Branco,Pública,,,Santo André,SP,1,1,1,1,497.0,506.9,518.0,524.1,460.0,501.2
18 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,553.2,614.2,555.9,610.5,960.0,658.76
18 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,576.5,633.2,517.3,669.5,740.0,627.3
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,662.9,659.5,661.8,789.6,840.0,722.76
18 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,461.6,517.2,523.9,470.5,800.0,554.64
17 anos,F,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,391.5,372.6,463.9,422.6,0.0,330.12
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,605.2,672.4,619.3,713.3,780.0,678.04
18 anos,F,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,547.1,606.5,580.4,702.3,880.0,663.26
22 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,419.3,392.6,482.9,431.1,380.0,421.18
18 anos,F,Preto,Pública,Santo André,SP,Santo André,SP,1,1,1,1,380.5,551.8,522.7,626.2,620.0,540.24
18 anos,F,Branco,Pública,Santo André,SP,Santo André,SP,1,1,1,1,623.7,633.4,612.6,664.5,860.0,678.84
18 anos,M,Pardo,Pública,Santo André,SP,Santo André,SP,1,1,1,1,430.2,583.0,513.7,473.5,620.0,524.08
18 anos,M,Pardo,Não respondeu,,,Santo André,SP,1,1,1,1,614.3,614.4,580.0,685.3,900.0,678.8
20 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,451.7,582.5,591.9,649.7,580.0,571.1600000000001
17 anos,M,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,672.1,619.7,571.7,778.0,780.0,684.3
23 anos,F,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,453.3,496.1,501.0,429.2,580.0,491.91999999999996
19 anos,M,Branco,Não respondeu,,,Santo André,SP,1,1,1,1,544.4,585.4,519.7,577.1,580.0,561.3199999999999
19 anos,M,Preto,Não respondeu,,,Santo André,SP,1,1,1,1,526.8,613.6,594.5,670.7,600.0,601.12
17 anos,F,Pardo,Pública,,,Santo André,SP,1,1,1,1,480.1,407.0,439.2,427.7,300.0,410.8
17 anos,F,Branco,Privada,Santo André,SP,Santo André,SP,1,1,1,1,486.2,623.3,581.5,652.8,640.0,596.76
17 anos,F,Pardo,Privada,Santo André,SP,Santo André,SP,1,1,1,1,624.6,644.2,555.0,788.5,740.0,670.46
17 anos,F,Branco,Pública,,,Santo André,SP,1,1,1,1,383.7,467.1,442.1,403.8,740.0,487.34
